"Price","Name","Rooms","Area","Floor","Region","Year","Elevator"
"449 000 zł","Kawalerka pod Booking ul. Cyrulicza Udziały","2 pokoje","36.2 m²","1 piętro","Śródmieście","1957","nie"
"595 000 zł","Lublin, ul. Relaksowa 18D","3 pokoje","63.73 m²","parter","Sławin","2024","tak"
"559 000 zł","Do Sprzedaży 3 Pokojowe Mieszkanie Przy Zachodniej","3 pokoje","63.15 m²","3 piętro","Rury","1992","nie"
"470 000 zł","2 Pokoje 53,40 m2 Czechów ul. Młodej Polski","2 pokoje","53.4 m²","2 piętro","Czechów Południowy","1986","nie"
"669 000 zł","Felin/ 3 pokoje pod klucz/ z 2024 - bez Pcc","3 pokoje","54 m²","7 piętro","Felin","2024","tak"
"474 355 zł","Osiedle Koncertowa Dolina | mieszkanie 2-pok. | 58","2 pokoje","43.09 m²","3 piętro","Czechów Północny","brak informacji","tak"
"559 000 zł","3 pokoje, 68 m2, ul. Głęboka, blisko uczelni","3 pokoje","68.54 m²","6 piętro","Rury","1962","tak"
"589 000 zł","Lublin, Czechów, 3 pokoje, do zamieszkania","3 pokoje","60 m²","3 piętro","Czechów Północny","1980","nie"
"554 900 zł","3 pokoje do wejścia, z widokiem na zieleń.","3 pokoje","50.3 m²","3 piętro","Dziesiąta","2015","tak"
"485 000 zł","Funkcjonalne mieszkanie w nowoczesnym stylu!","3 pokoje","49.65 m²","3 piętro","Dziesiąta","brak informacji","nie"
"472 625 zł","Active City | mieszkanie 2-pok. | B3_3_20","2 pokoje","47.5 m²","3 piętro","Wrotków","2026","nie"
"Zapytaj o cenę","Osiedle Daliowa II - 2P+K","2 pokoje","48.09 m²","1 piętro","Ponikwoda","2024","tak"
"475 893 zł","Koncertowe Wzgórze | mieszkanie 2-pok. | B1_14","2 pokoje","43.7 m²","2 piętro","Czechów Północny","brak informacji","nie"
"684 204 zł","Diamentowe Tarasy | przytulne mieszkanie C/M19","3 pokoje","75.27 m²","parter","Wrotków","brak informacji","nie"
"790 000 zł","Mieszkanie 4 pokoje 74m2, Lublin, Lsm. Os. Prusa","4 pokoje","74 m²","4 piętro","Rury","1990","nie"
"863 200 zł","MIESZKANIE PREMIUM - KOMFORTOWO WYKOŃCZONE - NOWE","3 pokoje","66.92 m²","parter","Czechów Południowy","2024","tak"
"385 000 zł","Mieszkanie Kalinowszczyzna Kleeberga 2 pokoje 33m2","2 pokoje","32.3 m²","parter","Kalinowszczyzna","1973","nie"
"439 200 zł","Najlepsza Oferta W Lublinie ! - Okazja ! Garaż 0Zł","2 pokoje","40 m²","2 piętro","Śródmieście","2026","tak"
"555 718 zł","Jemiołuszki Park| mieszkanie 3-pok. | M29","3 pokoje","48.79 m²","parter","Węglin Południowy","brak informacji","nie"
"Zapytaj o cenę","Nowoczesne Mieszkanie Rezydencja Ogród Saski A2.5","1 pokój","31.76 m²","2 piętro","Śródmieście","2023","nie"
"620 000 zł","3 oddzielne pokoje do wejścia, Czechów!","3 pokoje","57 m²","4 piętro","Czechów Południowy","brak informacji","nie"
"650 000 zł","Mieszkanie, ul. Zachodnia","3 pokoje","67.11 m²","2 piętro","Rury","1989","nie"
"699 000 zł","Mieszkanie + garaż w świetnej lokalizacji 75,5m²","3 pokoje","75.5 m²","2 piętro","Rury","1988","nie"
"350 000 zł","2 pokoje LSM Pana Tadeusza 35,6m²","2 pokoje","35.6 m²","4 piętro","Rury","1980","tak"
"600 600 zł","Nowoczesne mieszkanie 42 m2 (ul. Wojciechowska)","2 pokoje","42 m²","6 piętro","Konstantynów","2018","tak"
"789 000 zł","Na Sprzedaż Segment Z Dużą Działką- Al. Warszawska","4 pokoje","77.9 m²","parter","Sławin","2025","nie"
"730 000 zł","Przestronne, Czuby, 3 pokoje, 2 łaz, ciche os. zam","3 pokoje","75.4 m²","2 piętro","Czuby Północne","2006","nie"
"420 000 zł","Mieszkanie 47 m dwupokojowe wysoki parter.","2 pokoje","47 m²","parter","Tatary","1965","nie"
"669 000 zł","Wyjątkowe mieszkanie 54m2, 3 pokoje ,2024! Bez PCC","3 pokoje","54 m²","7 piętro","Felin","brak informacji","nie"
"469 000 zł","Mieszkanie 2-pok. przy Zalewie Zemborzyckim","2 pokoje","34.59 m²","3 piętro","Wrotków","2018","tak"
"819 000 zł","Wyjątkowy apartament z pełnym wyposażeniem","4 pokoje","112.4 m²","2 piętro","Czuby Północne","brak informacji","nie"
"655 500 zł","Idealne rodzinne mieszkanie 0% prowizji zamiana","3 pokoje","65.2 m²","2 piętro","Węglin Południowy","2024","tak"
"418 000 zł","Kawalerka blisko UM – 0% prowizji lub zamiana","2 pokoje","35.4 m²","1 piętro","Czechów Południowy","1988","nie"
"750 765 zł","Osiedle Koncertowa Dolina | mieszkanie 4-pok. | 56","4 pokoje","75.87 m²","3 piętro","Czechów Północny","brak informacji","tak"
"380 000 zł","BOTANIK, ul. Tarasowa, 32 m2 + duży taras 18 m2","1 pokój","32 m²","parter","Sławin","brak informacji","nie"
"550 000 zł","Czuby-mieszkanie z widokiem na las","2 pokoje","49 m²","2 piętro","Czuby Południowe","2000","nie"
"480 000 zł","Nowy 2 Pokojowy Apartament","2 pokoje","40.69 m²","2 piętro","Czechów Południowy","2024","tak"
"465 000 zł","Świetna oferta pod inwestycję, 2 pokoje. Um","2 pokoje","48.2 m²","4 piętro","Czechów Południowy","2005","nie"
"Zapytaj o cenę","Osiedle Daliowa II - 2P+K","2 pokoje","48.09 m²","parter","Ponikwoda","2024","tak"
"684 204 zł","Diamentowe Tarasy | wyjątkowe mieszkanie C/M21","3 pokoje","75.27 m²","1 piętro","Wrotków","brak informacji","nie"
"469 000 zł","Mieszkanie 4 piętro, 3 pokoje, 47,99 mkw Bronowice","3 pokoje","47.99 m²","4 piętro","Kośminek","1976","tak"
"475 735 zł","Sprzedam 3-pokojowe mieszkanie LSM","3 pokoje","56.3 m²","8 piętro","Rury","1967","tak"
"709 000 zł","Nowe, 3 pokoje, 2 balokony, płd-zach, bez PCC","3 pokoje","56.5 m²","1 piętro","Węglin Południowy","2024","tak"
"1 215 000 zł","Mieszkanie podzielone na 2 w kameralnym budynku","4 pokoje","73.51 m²","4 piętro","Wieniawa","2015","tak"
"670 000 zł","Mieszkanie w centrum w kameralnym budynku","2 pokoje","40.6 m²","4 piętro","Wieniawa","2015","tak"
"Zapytaj o cenę","Nova Daliova | mieszkanie 3-pok. | B1.42","3 pokoje","52.13 m²","parter","Ponikwoda","2025","tak"
"455 000 zł","3 pokojowe mieszkanie po remoncie!!","3 pokoje","43 m²","parter","Tatary","1970","nie"
"620 000 zł","Mieszkanie 57m2 w pełni wyposażone","3 pokoje","56.43 m²","3 piętro","Kośminek","2024","tak"
"649 000 zł","Okazja! 2018 R.  9500 Zł/M2 Centrum","3 pokoje","68 m²","parter","Wieniawa","2018","tak"
"410 000 zł","Mieszkanie 2-pokojowe, LSM","2 pokoje","37.5 m²","3 piętro","Rury","brak informacji","nie"
"555 718 zł","Jemiołuszki Park| mieszkanie 3-pok. | M29","3 pokoje","48.79 m²","parter","Węglin Południowy","brak informacji","nie"
"369 000 zł","BEZPOŚREDNIO Dwa pokoje PO REMONCIE, 200m od WSEi","2 pokoje","35 m²","parter","Tatary","brak informacji","nie"
"1 350 000 zł","Ścisłe Centrum Czechowska , apartament 117m2","4 pokoje","117 m²","2 piętro","Stare Miasto","2013","tak"
"675 000 zł","Ładne mieszkanie w okolicy zalewu. 3P + kuchnia.","3 pokoje","60.69 m²","parter","Wrotków","2018","tak"
"599 700 zł","BOTANIK | 2 pokoje | Miejsce postojowe | Klima","2 pokoje","52.23 m²","parter","Sławin","2010","tak"
"518 007 zł","Felin | 2 pok. | Oddzielna kuchnia | 2 stronne","2 pokoje","56 m²","2 piętro","Felin","brak informacji","nie"
"998 000 zł","Apartament na bliskim Czechowie - wysoki standard","4 pokoje","70.89 m²","3 piętro","Czechów Południowy","2019","tak"
"370 000 zł","Sprzedaż mieszkania","2 pokoje","35 m²","2 piętro","Kalinowszczyzna","1967","nie"
"550 000 zł","Mieszkanie 2 pokojowe NA SPRZEDAŻ","2 pokoje","52 m²","3 piętro","Czuby Północne","1989","tak"
"399 000 zł","Mieszkanie 40,15 M - Śródmieście - Ul. Chopina....","1 pokój","40.15 m²","3 piętro","Śródmieście","1938","nie"
"415 000 zł","2 - 3  pokoje na Czubach z pięknym widokiem","2 pokoje","49.1 m²","6 piętro","Czuby Północne","brak informacji","tak"
"682 145 zł","Osiedle Koncertowa Dolina | mieszkanie 3-pok. | 28","3 pokoje","63.91 m²","3 piętro","Czechów Północny","brak informacji","tak"
"277 620 zł","Lokal Inwestycyjny Męczenników Majdanka","1 pokój","26.44 m²","2 piętro","Felin","2025","nie"
"469 000 zł","Mieszkanie 38,7 M² – 2 Pokoje,  Lsm","2 pokoje","38.7 m²","2 piętro","Rury","1975","tak"
"620 000 zł","Kryształowa Mieszkanie 2 pokoje + garaż podziemny","2 pokoje","50 m²","2 piętro","Węglin Południowy","2011","tak"
"860 000 zł","Piękne, Duże Mieszkanie Na Czubach.","5 pokoi","128.25 m²","2 piętro","Konstantynów","2005","nie"
"595 000 zł","2 Pokoje | Balkon | Świetna Lokalizacja!","2 pokoje","49 m²","parter","Wieniawa","2003","nie"
"530 000 zł","mieszkanie sprzedaż ul. Koncertowa 19, Czechów","3 pokoje","57.9 m²","3 piętro","Czechów Północny","1997","nie"
"835 000 zł","Mieszkanie 3 pokoje . Gotowe do wejścia","3 pokoje","74 m²","2 piętro","Ponikwoda","2014","tak"
"525 461 zł","Koncertowe Wzgórze | mieszkanie 3-pok. | B1_45","3 pokoje","55.37 m²","3 piętro","Czechów Północny","brak informacji","nie"
"689 840 zł","Diamentowe Tarasy | przestronne mieszkanie C/M03","3 pokoje","75.89 m²","1 piętro","Wrotków","brak informacji","nie"
"552 073 zł","Jemiołuszki Park | 3-pok. | M11 | Promocja!","3 pokoje","48.47 m²","1 piętro","Węglin Południowy","brak informacji","nie"
"637 920 zł","Perspektywa Czechów ul. Wojtasa/70m2 - 4-pokoje","4 pokoje","70.88 m²","3 piętro","Czechów Północny","2026","tak"
"866 821,50 zł","Lokal mieszkalny Lublin | 113,31 m² | M26","4 pokoje","113.31 m²","","Śródmieście","brak informacji","nie"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 3-pok. | C_57","3 pokoje","52.11 m²","2 piętro","Ponikwoda","2026","tak"
"Zapytaj o cenę","Ustawne Mieszkanie Rezydencja Ogród Saski | A2.17","1 pokój","29.01 m²","2 piętro","Śródmieście","2023","nie"
"505 000 zł","3-Pokojowe Mieszkanie Z Oddzielną Kuchnią - Remont","3 pokoje","67.8 m²","1 piętro","Ponikwoda","1994","nie"
"585 000 zł","Mieszkanie z ogródkiem Wrotkow","2 pokoje","49 m²","parter","Wrotków","2015","nie"
"615 600 zł","Dwupokojowe mieszkanie w pobliżu Starego Lasu","2 pokoje","57 m²","2 piętro","Czuby Południowe","2001","nie"
"563 000 zł","Dwupokojowe Mieszkanie W Śródmieściu Do Remontu","2 pokoje","52.15 m²","parter","Śródmieście","1966","nie"
"366 000 zł","Bardzo Urocze 2 Pokojowe Mieszkanie","2 pokoje","32.8 m²","4 piętro","Tatary","1970","tak"
"980 000 zł","Dwupoziomowe, bezczynszowe z kominkiem i ogródkiem","3 pokoje","90 m²","1 piętro","Szerokie","1999","nie"
"524 000 zł","Trzypokojowe mieszkanie piętro: 1/4","3 pokoje","62 m²","1 piętro","Czuby Północne","1","nie"
"699 000 zł","Okacja ul. Północna Centrum przy Um blisko Chodźki","2 pokoje","53.97 m²","parter","Śródmieście","2015","tak"
"558 000 zł","Mieszkanie z miejscem postojowym w cenie","3 pokoje","61.2 m²","3 piętro","Czuby Północne","1982","nie"
"519 000 zł","Pierwsze piętro, okolica Filaretów/Zana","3 pokoje","61.2 m²","1 piętro","Czuby Północne","1981","nie"
"545 000 zł","Miejsce parkingowe| 2 pokoje| duży taras","2 pokoje","39 m²","4 piętro","Węglin Południowy","2021","tak"
"470 000 zł","Lublin, Węglinek ul. Koralowa","2 pokoje","36 m²","3 piętro","Węglin Południowy","2016","tak"
"557 500 zł","Ponikwoda, 3 Pokoje Na I Kwartał 2026R.","3 pokoje","51.6 m²","5 piętro","Ponikwoda","2026","tak"
"472 800 zł","Ponikwoda, 2 Pokoje Na I Kwartał 2026R.","2 pokoje","38.88 m²","5 piętro","Ponikwoda","2026","tak"
"599 700 zł","BOTANIK | 2 pokoje | Miejsce postojowe | Klima","2 pokoje","52.23 m²","parter","Sławin","2010","tak"
"620 000 zł","Bez Prowizji ! - Wysoki Standard ! Okazja !","3 pokoje","49.86 m²","2 piętro","Bronowice","2018","tak"
"670 000 zł","2 pokojowy Apartament w centrum, balkon, parking","2 pokoje","41.25 m²","2 piętro","Śródmieście","2024","tak"
"385 000 zł","Mieszkanie Kalinowszczyzna Kleeberga 2 pokoje 33m2","2 pokoje","32.3 m²","parter","Kalinowszczyzna","1973","nie"
"469 000 zł","Gotowe Do Zamieszkania 33,8 Mkw- 2 Pokoje, Wrotków","2 pokoje","33.8 m²","1 piętro","Wrotków","2021","tak"
"445 000 zł","3 pokojowe mieszkanie z dużym balkonem na Czubach","3 pokoje","47.8 m²","1 piętro","Czuby Południowe","1990","nie"
"528 220 zł","3 Pokojowe Mieszkanie Blisko Trenów Zielonych","3 pokoje","53.9 m²","2 piętro","Ponikwoda","2026","tak"
"699 000 zł","Elegancki apartament blisko centrum","2 pokoje","51 m²","4 piętro","Sławin","2019","tak"
"660 000 zł","4 pokoje po remoncie na Bronowicach!","4 pokoje","61.94 m²","3 piętro","Kośminek","1975","nie"
"395 000 zł","Mieszkanie 2 pokojowe w udziałach/ Górna","2 pokoje","58 m²","3 piętro","Śródmieście","1900","nie"
"460 000 zł","mieszkanie 4 pokojowe do remontu / Kiepury","4 pokoje","58 m²","1 piętro","Czechów Południowy","1977","tak"
"475 000 zł","829/12040/OMS","2 pokoje","53 m²","parter","Kalinowszczyzna","1997","nie"
"599 000 zł","Przestronne  3 pokojowe mieszkanie /Czechowska","3 pokoje","59.6 m²","parter","Śródmieście","1960","nie"
"555 000 zł","Mieszkanie 2 pokojowe w stylu Loft/Wschodnia","2 pokoje","50 m²","3 piętro","Śródmieście","1964","nie"
"540 000 zł","Mieszkanie 51,5m Czuby Z MEBLAMI","2 pokoje","51.5 m²","4 piętro","Czuby Południowe","1989","nie"
"379 785 zł","2 Pokojowe Mieszkanie Blisko Trenów Zielonych","2 pokoje","36.17 m²","1 piętro","Ponikwoda","2026","tak"
"419 000 zł","3 pokoje w centrum, ul. Henryka Wiercieńskiego","3 pokoje","45 m²","5 piętro","Śródmieście","1978","tak"
"749 000 zł","Mieszkanie 69 m2 ul. Bluszczowa , 3 pokoje","3 pokoje","69.3 m²","3 piętro","Ponikwoda","2014","tak"
"375 000 zł","2 pokoje po generalnym remoncie przy WSEI!","2 pokoje","35 m²","parter","Hajdów-Zadębie","1960","nie"
"489 000 zł","Osiedle Regaty - Wrotków, 2 pokoje, 35m2","2 pokoje","35 m²","1 piętro","Wrotków","2024","tak"
"369 000 zł","2 pokoje 44,36m2 parter Krańcowa","2 pokoje","44.36 m²","parter","Bronowice","1970","nie"
"912 445 zł","Mieszkanie z ogródkiem przy ul. Kwarcowej","4 pokoje","69.07 m²","parter","Węglin Południowy","2020","tak"
"483 000 zł","Zamieszkaj na nowym osiedlu-2 pokoje-Węglin!","2 pokoje","49 m²","3 piętro","Węglin Południowy","2025","tak"
"492 966 zł","3 Pokojowe Mieszkanie Na Ponikwodzie","3 pokoje","48.33 m²","1 piętro","Ponikwoda","2026","nie"
"515 000 zł","***Lsm, 4 pokoje, idealne na wynajem***","4 pokoje","57.8 m²","5 piętro","Rury","1976","tak"
"839 000 zł","Inwestycja w zasięgu ręki, blisko KUL, z garażem!","5 pokoi","116.32 m²","4 piętro","Wieniawa","1994","nie"
"599 000 zł","**Nowe Budownictwo, 5 minut do Politechnika**","2 pokoje","51.15 m²","1 piętro","Rury","2005","nie"
"499 000 zł","***Wrotków, nowe budownictwo, okazja***","2 pokoje","44.56 m²","4 piętro","Wrotków","2024","tak"
"570 000 zł","***Lsm, 3 pokoje, 1 piętro, 2 balkony***","3 pokoje","60.1 m²","1 piętro","Rury","1960","nie"
"435 000 zł","Luksusowa kawalerka z ogródkiem","1 pokój","30.52 m²","parter","Węglin Południowy","brak informacji","tak"
"601 680 zł","Gotowe, Koncertowa, 3 pokoje, 65m2, balkon 8m2","3 pokoje","65.4 m²","parter","Czechów Północny","2022","tak"
"574 900 zł","Koralowa, 52m2, 2 pokoje, garderoba, balkon 11m2","2 pokoje","52.3 m²","4 piętro","Węglin Południowy","2012","tak"
"395 000 zł","2 -pokoje z możliwością adaptacji na 3 lub zamiany","2 pokoje","48.2 m²","4 piętro","Bronowice","1986","nie"
"566 614 zł","Jemiołuszki Park| mieszkanie 3-pok. | M23","3 pokoje","48.47 m²","3 piętro","Węglin Południowy","brak informacji","nie"
"474 355 zł","Osiedle Koncertowa Dolina | mieszkanie 2-pok. | 26","2 pokoje","43.09 m²","3 piętro","Czechów Północny","brak informacji","tak"
"525 000 zł","mieszkanie Kompozytorów Polskich/Północna","2 pokoje","34 m²","1 piętro","Czechów Południowy","2023","tak"
"460 000 zł","Czuby, 2 pokoje, 2 piętro, blisko las Dąbrowa.","2 pokoje","48.6 m²","2 piętro","Czuby Północne","1993","nie"
"723 000 zł","***1 piętro, 3 pokoje-do wejścia! Brak 2% Pcc***","3 pokoje","57.35 m²","1 piętro","Węglin Południowy","2024","tak"
"Zapytaj o cenę","4-pokojowe mieszkanie 64m2 + balkon Bez Prowizji","4 pokoje","64.24 m²","4 piętro","Ponikwoda","2026","tak"
"469 000 zł","Gotowe Do Zamieszkania 33,8 Mkw- 2 Pokoje, Wrotków","2 pokoje","33.8 m²","1 piętro","Wrotków","2021","tak"
"369 000 zł","BEZPOŚREDNIO Dwa pokoje PO REMONCIE, 200m od WSEi","2 pokoje","35 m²","parter","Tatary","brak informacji","nie"
"585 600 zł","Mieszkanie 3 pokojowe","3 pokoje","62.97 m²","1 piętro","Kośminek","brak informacji","nie"
"668 360 zł","Active City etap V  | mieszkanie 4-pok. | D1_2_17","4 pokoje","68.2 m²","2 piętro","Wrotków","2026","tak"
"Zapytaj o cenę","3-pokojowe mieszkanie 52m2 + balkon Bez Prowizji","3 pokoje","52.93 m²","4 piętro","Ponikwoda","2026","tak"
"347 352 zł","Diamentowe Tarasy | komfortowe mieszkanie C/M43","1 pokój","34.77 m²","1 piętro","Wrotków","brak informacji","nie"
"532 950 zł","Perspektywa Czechów ul. Wojtasa/52 m2 - 3-pokoje","3 pokoje","52.25 m²","4 piętro","Czechów Północny","2026","tak"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 2-pok. | C_75","2 pokoje","32.3 m²","3 piętro","Ponikwoda","2026","tak"
"727 397 zł","Chodźki Residence Lublin, ul. Chodźki M132","3 pokoje","81.73 m²","parter","Czechów Południowy","2024","tak"
"Zapytaj o cenę","Stara Farbiarnia - inwestycja w Centrum Lublina","1 pokój","47.2 m²","4 piętro","Śródmieście","2026","tak"
"Zapytaj o cenę","Osiedle Narcyzowe | mieszkanie 3-pok. N5_23","3 pokoje","53.66 m²","parter","Ponikwoda","brak informacji","tak"
"Zapytaj o cenę","Mieszkanie w Rezydencji Ogród Saski C1.9","1 pokój","25.02 m²","1 piętro","Śródmieście","2024","nie"
"459 000 zł","Mieszkanie 2-pokojowe po remoncie Czuby os. Błonie","2 pokoje","36 m²","2 piętro","Czuby Północne","brak informacji","tak"
"889 000 zł","Apartament 121m2 przy ul. Narutowicza","5 pokoi","121 m²","3 piętro","Śródmieście","1999","nie"
"649 100 zł","Ponikwoda, 4 Pokoje Na I Kwartał 2026R.","4 pokoje","62.17 m²","6 piętro","Ponikwoda","2026","tak"
"510 000 zł","Lublin, LSM, 3 pokoje","3 pokoje","61 m²","3 piętro","Rury","1963","nie"
"1 090 000 zł","Lublin Sławinek ul. Baśniowa - Inwestycja !","6 pokoi","135 m²","3 piętro","Sławin","2000","nie"
"760 000 zł","OKAZJAciche mieszkanie w fantastycznej lokalizacji","4 pokoje","80.3 m²","1 piętro","Konstantynów","2000","nie"
"430 000 zł","3-pokojowe jasne mieszkanie na sprzedaż dostępne o","3 pokoje","46.9 m²","3 piętro","Tatary","brak informacji","nie"
"550 000 zł","Mieszkanie w świetnej lokalizacji w Lublinie","3 pokoje","59.67 m²","parter","Czuby Północne","brak informacji","nie"
"469 000 zł","Mieszkanie 38m, Zielone Wzgórze, Botanik","2 pokoje","38 m²","5 piętro","Sławin","2019","tak"
"499 999 zł","LSM, ul. Chrobrego 3","2 pokoje","38.5 m²","1 piętro","Rury","brak informacji","tak"
"Zapytaj o cenę","Nova Daliova | mieszkanie 2-pok. | B1.31","2 pokoje","40.83 m²","2 piętro","Ponikwoda","2025","tak"
"340 000 zł","1 pokój - 32 m2 Bronowice","1 pokój","32 m²","2 piętro","Bronowice","1960","nie"
"556 198 zł","Węglin. Przestronne w nowym budynku. Dwa balkony!","2 pokoje","57.34 m²","parter","Węglin Południowy","2024","nie"
"390 000 zł","Czechów, Związkowa, 42m2, parking, od zaraz","1 pokój","41.6 m²","1 piętro","Czechów Południowy","2008","nie"
"450 000 zł","3 pokoje na Czechowie!","3 pokoje","51.3 m²","4 piętro","Czechów Południowy","1975","nie"
"550 000 zł","Mieszkanie idealne pod inwestycje Śródmieście","2 pokoje","60.5 m²","parter","Śródmieście","1961","nie"
"590 160,60 zł","Ulokuj swój kapitał w wyjątkowej inwestycji","3 pokoje","52.74 m²","1 piętro","Czechów Południowy","2026","tak"
"529 494,60 zł","Mieszkanie idealne na start blisko UM - Ogródek","1 pokój","44.54 m²","parter","Czechów Południowy","2026","tak"
"650 278,30 zł","Ulokuj swój kapitał w wyjątkowej inwestycji","3 pokoje","59.17 m²","1 piętro","Czechów Południowy","2026","tak"
"720 000 zł","Przestronne mieszkanie na Czubach 120m2","6 pokoi","73.8 m²","2 piętro","Czuby Północne","1996","nie"
"660 000 zł","Nowe mieszkanie 4-pok z balkonem","4 pokoje","66.56 m²","parter","Czechów Północny","2025","nie"
"930 000 zł","Nowy apartament z 2 balkonami na Sławinie","4 pokoje","92.21 m²","1 piętro","Sławin","2025","nie"
"357 700 zł","Jasne, dwupokojowe mieszkanie ul. Montażowa","2 pokoje","36.99 m²","2 piętro","Tatary","1967","nie"
"1 146 600 zł","5 pokoi dla Rodziny lub pod wynajem- 2 mieszkania","5 pokoi","117 m²","2 piętro","Ponikwoda","1996","nie"
"334 000 zł","Poniżej 8tys/m2!","2 pokoje","41.84 m²","3 piętro","Śródmieście","1983","nie"
"525 000 zł","Mieszkanie na sprzedaż, ul. Koncertowa, 47mkw","2 pokoje","47 m²","parter","Czechów Północny","2024","nie"
"470 000 zł","Nowe - Wykończone mieszkanie w wysokim standardzie","2 pokoje","39.19 m²","3 piętro","Bronowice","2024","tak"
"Zapytaj o cenę","3-pokojowe mieszkanie 52m2 + balkon Bez Prowizji","3 pokoje","52.93 m²","4 piętro","Ponikwoda","2026","tak"
"369 000 zł","Po remoncie, niski czynsz, Wykończone Czechów","1 pokój","26.5 m²","7 piętro","Czechów Północny","1980","tak"
"617 100 zł","Mieszkanie nr 8","1 pokój","37.4 m²","2 piętro","Śródmieście","2025","tak"
"728 500 zł","Idealne mieszkanie 4 Pokoje ! 2 balkony ! Okazja","4 pokoje","77.5 m²","3 piętro","Czechów Północny","2025","tak"
"708 000 zł","Lublin, Węglinek - ul. Jemiołuszki","3 pokoje","65 m²","3 piętro","Węglin Południowy","2024","tak"
"725 000 zł","Przestronne / 3pokoje / 72m2 / Węglin Południowy","3 pokoje","72 m²","3 piętro","Węglin Południowy","2015","tak"
"670 000 zł","4 Pokoje, Sławinek","4 pokoje","79.3 m²","1 piętro","Sławin","1997","nie"
"540 500 zł","Przestronne mieszkanie blisko Górek Czechowskich","4 pokoje","67.6 m²","4 piętro","Sławin","1978","nie"
"499 000 zł","Dwa pokoje gotowe do zamieszkania","2 pokoje","47.12 m²","parter","Ponikwoda","2001","nie"
"429 000 zł","Dwa pokoje idealne na wynajem","2 pokoje","46.6 m²","2 piętro","Rury","1976","nie"
"503 000 zł","Nowoczesne mieszkanie na LSM","2 pokoje","45.8 m²","3 piętro","Rury","1972","tak"
"460 000 zł","Trzy pokoje Czechów do remontu! Niska cena!","3 pokoje","62 m²","4 piętro","Czechów Południowy","1990","nie"
"610 000 zł","3 Pokoje, Balkon, Piwnica","3 pokoje","60.1 m²","4 piętro","Czuby Południowe","1992","nie"
"694 809 zł","Jemiołuszki Park| mieszkanie 4-pok. | M18","4 pokoje","65.61 m²","2 piętro","Węglin Południowy","brak informacji","nie"
"603 400 zł","Perspektywa Czechów ul. Wojtasa/60m2- 3 pokoje","3 pokoje","60.34 m²","5 piętro","Czechów Północny","2026","tak"
"Zapytaj o cenę","Narcyzowe Wzgórza II | mieszkanie 2-pok. | D_4","2 pokoje","39.32 m²","parter","Ponikwoda","2026","tak"
"571 203,10 zł","Diamentowe Wzgórze ul. Wolińskiego 26b,Budynek G","3 pokoje","60.19 m²","parter","Czechów Południowy","2024","tak"
"Zapytaj o cenę","Stara Farbiarnia - apartamenty w Śródmieściu","1 pokój","37.12 m²","4 piętro","Śródmieście","2026","tak"
"Zapytaj o cenę","Osiedle Narcyzowe | mieszkanie 3-pok. N4_35","3 pokoje","53.96 m²","1 piętro","Ponikwoda","brak informacji","tak"
"637 014 zł","Felin Park II | mieszkanie 3-pok. | M25","3 pokoje","64.41 m²","2 piętro","Kośminek","2025","tak"
"Zapytaj o cenę","3-pok. Mieszkanie Rezydencja Ogród Saski A4.15","3 pokoje","49.71 m²","4 piętro","Śródmieście","2024","nie"
"665 000 zł","Mieszkanie, 3 pokoje, 60 m2, Węglin, ul. Onyksowa","3 pokoje","59.84 m²","parter","Węglin Południowy","2013","tak"
"569 000 zł","2 pokoje ul Jemiołuszki nowe wykończone OKAZJA","2 pokoje","44.9 m²","1 piętro","Węglin Południowy","2024","tak"
"442 000 zł","Mieszkanie, 44,25 m², Lublin","3 pokoje","44.25 m²","4 piętro","Sławin","1994","nie"
"373 000 zł","Dwupokojowe mieszkanie 39,3 m2, Śródmieście","2 pokoje","39.3 m²","3 piętro","Śródmieście","1936","nie"
"400 000 zł","Mieszkanie, 48 m², Lublin","3 pokoje","48 m²","1 piętro","Śródmieście","1990","nie"
"599 000 zł","Sprzedam mieszkanie 44.66m2 Sławin, Lublin","2 pokoje","44.66 m²","2 piętro","Sławin","2018","tak"
"543 000 zł","3 pokoje, budynek oddany 2024 rok, klucze na już","3 pokoje","52.5 m²","parter","Węglin Południowy","2024","nie"
"585 000 zł","Przestronne mieszkanie 63 m² na ul. Szmaragdowej","3 pokoje","63.87 m²","3 piętro","Czuby Południowe","1993","nie"
"495 000 zł","Nowoczesne 2-pokojowe mieszkanie 37m2, ul. Długa","2 pokoje","37 m²","4 piętro","Bronowice","2024","tak"
"1 940 000 zł","Mieszkanie na sprzedaż w Lublinie 314 m2","10+ pokoi","314 m²","","Wieniawa","brak informacji","nie"
"610 000 zł","Osiedle Europejskie, 2 pokoje z 2 balkonami, 49 m2","2 pokoje","48.87 m²","4 piętro","Felin","2023","tak"
"450 000 zł","Osiedle Europejskie 2 pokoje, miejsce postojowe","2 pokoje","30.86 m²","4 piętro","Felin","2023","tak"
"421 200 zł","Słoneczny Taras/Ogród + Miejsce w Hali + HIT!","2 pokoje","36 m²","","Ponikwoda","brak informacji","tak"
"511 200 zł","Najtańsze 3 pokoje + GARAZ 0zl + Premium","3 pokoje","50 m²","","Ponikwoda","brak informacji","tak"
