"Price","Name","Rooms","Area","Floor","Region","Year","Elevator"
"379 000 zł","Mieszkanie na sprzedaż-Śródmieście os. B. Prusa.","1 pokój","36.25 m²","parter","Śródmieście","2006","nie"
"392 806 zł","Diamentowe Tarasy | atrakcyjne mieszkanie D/M06","2 pokoje","39.32 m²","parter","Wrotków","brak informacji","nie"
"569 000 zł","4 pokoje z pełnym wyposażeniem-idealne na wynajem","4 pokoje","61.5 m²","4 piętro","Czechów Południowy","1976","nie"
"370 000 zł","Centrum miasteczko akademickie kawalerka 1 p","1 pokój","28 m²","1 piętro","Stare Miasto","1950","nie"
"472 062 zł","Koncertowe Wzgórze | mieszkanie 2-pok. | B1_52","2 pokoje","43.75 m²","parter","Czechów Północny","brak informacji","nie"
"473 388 zł","Grudniowa Promocja!","2 pokoje","38.3 m²","parter","Ponikwoda","2026","tak"
"599 000 zł","*** Kawalerka Centrum Wysoki Standard ***","1 pokój","32.68 m²","parter","Śródmieście","2024","tak"
"485 000 zł","Przestronne trzypokojowe mieszkanie blisko wąwozu","3 pokoje","62.5 m²","4 piętro","Czuby Południowe","1998","nie"
"539 000 zł","Cztery pokoje, dwa balkony, blisko Uczelni","4 pokoje","52 m²","parter","Rury","1968","tak"
"631 300 zł","Trzypokojowe Mieszkanie 63,13 M2 Nałęczowska","3 pokoje","63.13 m²","3 piętro","Sławin","2024","nie"
"598 500 zł","Przestronne 4 Pokojowe Mieszkanie Ul. Daszyńskiego","6 pokoi","85.5 m²","4 piętro","Kalinowszczyzna","brak informacji","nie"
"355 000 zł","2 przestronne pokoje blisko Wsei, Tatary","2 pokoje","47.4 m²","1 piętro","Tatary","1965","nie"
"343 684 zł","Mieszkanie Na Ponikwodzie O Pow. 32,12 M2","1 pokój","32.12 m²","1 piętro","Ponikwoda","2025","tak"
"570 000 zł","Lublin Czechów 2pokoje, 2025","2 pokoje","48.2 m²","1 piętro","Czechów Północny","2025","tak"
"980 000 zł","Na sprzedaż 3 pokoje 93m2 w kamienicy- ogrzewanie","3 pokoje","93 m²","3 piętro","Stare Miasto","1930","nie"
"695 000 zł","Lublin ul. Rogowskiego 72,76mkw 4 pokoje parter","4 pokoje","72.76 m²","parter","Czechów Południowy","1990","nie"
"445 000 zł","Funkcjonalne Mieszkanie 39M2 Przy Ul. M. Brzeskiej","2 pokoje","39 m²","parter","Rury","1978","tak"
"659 000 zł","Bez Prowizji! Z Tarasem 17m2 ! Po Remoncie !","4 pokoje","60.21 m²","3 piętro","Ponikwoda","2008","nie"
"393 450 zł","Niesamowite mieszkanie dostępne na 10.2024 Rok !","2 pokoje","30.5 m²","3 piętro","Śródmieście","2024","tak"
"767 000 zł","4 Pokoje-Centrum, Wieniawa,Widok na Panoramę Miast","4 pokoje","63.79 m²","9 piętro","Wieniawa","1977","tak"
"Zapytaj o cenę","Nova Daliova | mieszkanie 2-pok. | B2.28","2 pokoje","37.94 m²","3 piętro","Ponikwoda","2025","tak"
"Zapytaj o cenę","3-pokojowe mieszkanie 51m2 + ogródek","3 pokoje","51.6 m²","parter","Ponikwoda","2026","tak"
"393 872 zł","Grudniowa Promocja!","1 pokój","29.57 m²","parter","Ponikwoda","2026","tak"
"469 737 zł","Grudniowa Promocja!","2 pokoje","40.08 m²","2 piętro","Ponikwoda","2026","tak"
"596 275 zł","Grudniowa Promocja!","4 pokoje","59.39 m²","parter","Ponikwoda","2026","tak"
"595 828 zł","Grudniowa Promocja!","4 pokoje","57.96 m²","2 piętro","Ponikwoda","2026","tak"
"481 580 zł","Active City | mieszkanie 2-pok. | B2_0_29","2 pokoje","48.4 m²","parter","Wrotków","2026","nie"
"476 431 zł","Koncertowe Wzgórze | mieszkanie 3-pok. | B2_11","3 pokoje","49.68 m²","2 piętro","Czechów Północny","brak informacji","nie"
"439 260 zł","Diamentowe Tarasy | przytulne mieszkanie C/M76","2 pokoje","43.97 m²","5 piętro","Wrotków","brak informacji","nie"
"475 000 zł","Inwestycyjne dwa pokoje, Śródmieście","2 pokoje","44.1 m²","1 piętro","Śródmieście","1934","nie"
"498 500 zł","Mieszkanie 3-pokojowe, 62,31 m2, Śródmieście","3 pokoje","62.31 m²","4 piętro","Śródmieście","1967","nie"
"730 000 zł","3 Pokoje -Mieszkanie/Lokal- Ul. Chopina-Centrum","3 pokoje","81.84 m²","2 piętro","Śródmieście","1938","nie"
"375 000 zł","Przestronne 2 pokoje, Dziesiąta","2 pokoje","43 m²","parter","Dziesiąta","1920","nie"
"405 090 zł","Osiedle Narcyzowe | mieszkanie 2-pok. N4_65","2 pokoje","38.58 m²","3 piętro","Ponikwoda","brak informacji","tak"
"530 000 zł","Nowoczesne mieszkanie w Lublinie ul. Jantarowa","2 pokoje","44.8 m²","3 piętro","Węglin Południowy","2023","tak"
"550 000 zł","Nowoczesne mieszkanie w Lublinie ul. Jantarowa","2 pokoje","47 m²","6 piętro","Węglin Południowy","2023","tak"
