Price,Area,Elevator,Year,Rooms,Floor,Region,Name
551080.0,59.9,1,,4,4 piętro,Czechów Południowy,Dwustronne mieszkanie przy ulicy Koncertowej
499000.0,128.0,0,1960,4,4 piętro,Tatary,Mieszkanie antresola+klimatyzacja 128m² użytkowych
540000.0,44.69,0,2004,2,parter,Sławin,Przestronne mieszkanie dla Ciebie
450000.0,57.3,1,,4,7 piętro,Rury,"4pokojowe mieszkanie 57,3m2-Lublin ul.Leonarda Lsm"
699000.0,72.02,0,2005,4,3 piętro,Czechów Południowy,Przytulne mieszkanie przy Uniwersytecie Medycznym
675600.0,37.43,1,2023,2,parter,Czechów Północny,Luksusowy apartament w Lublinie-Czechów
490000.0,41.26,1,2024,2,3 piętro,Czechów Północny,Mieszkanie 2 pokojowe bez podatku Pcc - Czechów
717000.0,57.38,1,2020,3,3 piętro,Ponikwoda,"3 pokoje, mieszkanie na sprzedaż Ponikwoda, Lublin"
1080000.0,72.0,0,1908,4,parter,Śródmieście,Dwupak inwestycyjny Niecała przy Placu Litewskim
649000.0,67.8,0,1997,3,1 piętro,Ponikwoda,"Ładne, ciepłe, gotowe 3 pokojwe. Wysoki standard"
439200.0,40.0,1,2026,2,2 piętro,Śródmieście,Najlepsza Oferta W Lublinie ! - Okazja ! Garaż 0Zł
679000.0,57.1,0,1978,3,3 piętro,Wieniawa,Mieszkanie w Lublinie- Śródmieście
495000.0,61.0,0,1979,3,4 piętro,Czechów Północny,Przytulne i słoneczne M3 na Czechowie
679000.0,83.8,0,1930,4,4 piętro,Śródmieście,4 pokoje⭐️Balkon⭐️Kamienica⭐️Stare Miasto
469000.0,57.1,0,1971,3,4 piętro,Konstantynów,3 pokoje⭐️dwustronne⭐️rozkładowe⭐️balkon
349000.0,38.0,0,1969,1,parter,Bronowice,Do wejścia⭐️Pogodna⭐️38m2⭐️Balkon⭐️Parter
690000.0,73.99,1,2015,3,3 piętro,Ponikwoda,Mieszkanie z potencjałem na antresolę
454720.0,46.4,1,2024,2,4 piętro,Węglin Południowy,2-pokojowe mieszkanie przy ul. Onyksowej
519000.0,61.39,1,1984,3,1 piętro,Wrotków,3 pokoje⭐umeblowane⭐balkon⭐1 piętro
679000.0,63.6,1,2024,3,1 piętro,Węglin Południowy,Dwustronne 3-pok z balkonem garaż piwnica
420000.0,57.8,0,1961,3,parter,Tatary,Cicha okolica ⭐️ balkon ⭐️ 3-4 pokoje
479000.0,53.92,0,2000,2,3 piętro,Ponikwoda,Przestronne mieszkanie przy Galerii Olimp
1299000.0,81.0,1,2013,3,10+ piętro,Rury,"Metropolitan Park 16 piętro widok 81m2, 3 pokoje"
480000.0,40.69,0,2024,2,2 piętro,Czechów Południowy,"Mieszkanie Chodźki Residence Lublin 40,69m2"
300000.0,38.0,0,,2,parter,Śródmieście,DWUPAK inwestycyjny w Lublinie z antresolą
599000.0,56.0,0,1985,3,3 piętro,Wieniawa,"Trzypokojowe mieszkanie ul. Puławska, 56 m2"
575000.0,46.54,1,2024,2,1 piętro,Czuby Południowe,"WYKOŃCZONE NOWE mieszkanie 2pokojowe, Czuby/Węglin"
532000.0,48.0,1,1980,3,2 piętro,Kalinowszczyzna,Mieszkanie Po Remoncie PRZYJDŹ I SPRAWDŹ
529000.0,53.06,1,1975,3,6 piętro,Rury,3 oddzielne pokoje w sąsiedztwie Politechniki!
675000.0,60.69,1,2018,3,parter,Wrotków,Ładne mieszkanie w okolicy zalewu. 3P + kuchnia.
682145.0,63.91,1,,3,2 piętro,Czechów Północny,Osiedle Koncertowa Dolina | mieszkanie 3-pok. | 21
820000.0,65.47,1,2018,3,4 piętro,Sławin,Wyjątkowe 3 pokojowe mieszkanie na Sławinie
870000.0,63.0,1,2018,3,4 piętro,Śródmieście,Mieszkanie W Apartamentowcu Na Północnej.
439000.0,38.7,0,1960,2,3 piętro,Rury,Komfortowe 2 pokoje LSM po remoncie koło bazarku
903000.0,70.0,0,2026,2,3 piętro,Sławin,"Apartamenty Poligonowa Etap 4, M87"
562134.0,49.31,0,2026,2,3 piętro,Sławin,Zielone Tarasy Botanik ** PRZEDSPRZEDAŻ
667700.0,60.7,1,2025,3,7 piętro,Konstantynów,Wojciechowska Square | mieszkanie 54
423759.0,25.52,1,,1,1 piętro,Wieniawa,Saski Point | wykończony lokal mieszkalny | 11
551148.5,50.15,1,2024,3,5 piętro,Wrotków,"Gotowe mieszkanie 49 m2, 3 pokoje z aneksem kuch."
472625.0,47.5,0,2026,2,4 piętro,Wrotków,Active City | mieszkanie 2-pok. | B3_4_25
596000.0,51.0,0,2001,2,2 piętro,Czuby Południowe,"2p, 51 m2, po remoncie, Poręba, miejsce parkingowe"
559998.0,52.83,1,2026,3,6 piętro,Czechów Północny,Mieszkanie na Czechowie/3 pokoje/stan deweloperski
579900.0,51.45,1,2025,3,2 piętro,Sławin,"Sławin, Botanik 51 m2 garaż 3 pokoje deweloperski"
389000.0,33.0,1,1971,2,10 piętro,Rury,Mieszkanie dwupokojowe Lublin LSM
499999.0,68.0,0,1986,4,2 piętro,Czechów Północny,4 pokojowe( możliwość 5) mieszkanie 68m2 Czechów.
359000.0,27.0,0,1980,1,parter,Rury,"Kawalerka 600m na UMCS, UP"
699600.0,66.03,0,2015,3,3 piętro,Wrotków,"3 pokoje, garderoba, 24m taras, klima, rekreacja"
399000.0,52.0,0,1900,2,3 piętro,Śródmieście,Mieszkanie + Poddasze w centrum / udziały
899000.0,96.5,0,1960,3,2 piętro,Śródmieście,Apartament z klimatyzacją w Śródmieściu
599000.0,57.91,0,,3,1 piętro,Sławin,Zadbane mieszkanie 3 pokojowe na Sławinie
550000.0,54.9,0,,2,parter,Wieniawa,Mieszkanie miasteczko uniwersyteckie w Lublinie
760000.0,66.4,0,2008,3,2 piętro,Czuby Południowe,Mieszkanie w super lokalizacji z widokiem na las
695000.0,75.0,1,2005,3,2 piętro,Rury,Mieszkanie 3 pokoje 75 m2 ul. Zana
599000.0,100.7,0,1985,3,1 piętro,Węglin Południowy,bezczynszowe mieszkanie na os. Świt-Węglin
567000.0,63.0,0,1998,3,1 piętro,Dziesiąta,Sprzedam mieszkanie w Lublinie
480000.0,54.0,0,,2,4 piętro,Kalinowszczyzna,"54 m2, Piwnica, DUŻY balkon, widok Park Zawilców!"
850000.0,69.0,1,2021,3,1 piętro,Węglin Południowy,3 pokoje Węglin wysoki standard od zaraz!!!
750000.0,54.66,1,2018,3,1 piętro,Węglin Południowy,Ustawne i Jasne | Taras 42 mkw | Piwnica 10 mkw.
809000.0,64.11,1,2018,3,5 piętro,Sławin,"Zielone Wzgórze mieszkanie na sprzedaż 64,11m2"
610000.0,78.0,0,1989,4,parter,Czuby Północne,"Czuby, ul. Tymiankowa, 4 pok., 78 mkw.,"
650682.0,58.62,1,2025,3,6 piętro,Konstantynów,Wojciechowska Square | mieszkanie 137
359000.0,36.1,1,1981,2,1 piętro,Czechów Południowy,"2 pokoje i oddzielna kuchnia, Czechów, Paganiniego"
613000.0,58.9,0,2012,4,3 piętro,Węglin Południowy,"Lublin, Węglinek ul. Jaspisowa"
445000.0,31.08,1,2024,2,1 piętro,Felin,"Felin- 2 pokoje, nowe, 31mkw, bez PCC"
435000.0,58.0,0,1980,3,2 piętro,Wrotków,Mieszkanie 3 pokojowe 58m2 os. Nałkowskich Lublin
555000.0,42.62,1,2014,2,3 piętro,Wrotków,Wyjątkowe_oryginalne_funkcjonalne_wysoki standard
575000.0,61.2,0,,3,5 piętro,Rury,Właściciel Sprzedaje Mieszkanie Lublin Rury
373500.0,31.66,1,2023,1,2 piętro,Felin,Mieszkanie Deweloperskie Felin DOSTĘPNE OD ZARAZ
599000.0,47.32,1,2017,2,2 piętro,Wrotków,Mieszkanie z widokiem na Zalew - 2 pokoje
579000.0,57.7,1,1981,4,1 piętro,Czechów Południowy,Czechów 4 pokoje Wykończone ul. Kiepury
745000.0,60.0,1,2015,3,parter,Czechów Południowy,Mieszkanie 60m2 ul. Operowa (czechów)
520000.0,45.5,0,1999,2,1 piętro,Czuby Południowe,"Czuby - os. Widok | 2 pokoje | 45,5 m2 | 1 piętro"
340000.0,35.81,1,1970,2,9 piętro,Tatary,2 pokoje po remoncie z widokiem na panoramę miasta
475380.0,41.7,1,2026,2,1 piętro,Sławin,"41,70 M2 - Zielone Tarasy Botanik ** Przedsprzedaż"
369000.0,31.8,1,2024,2,1 piętro,Węglin Południowy,"2 pokoje 32m2, Węglinek, Jemiołuszki"
699000.0,75.83,0,1988,3,2 piętro,Rury,"*** Okazja, ul.Gliniana , blisko uczelnie***"
