Price,Area,Elevator,Year,Rooms,Floor,Region
765612.0,70.88999938964844,0.0,2026,2.0,3 piętro,Sławin
479550.0,41.70000076293945,0.0,2026,2.0,2 piętro,Sławin
594440.0,54.040000915527344,1.0,2025,3.0,2 piętro,Konstantynów
605515.0,56.369998931884766,1.0,2025,3.0,parter,Czechów Północny
425000.0,50.900001525878906,1.0,1969,3.0,6 piętro,Kalinowszczyzna
559000.0,54.0,1.0,1970,3.0,1 piętro,Rury
620842.0,58.56999969482422,1.0,2024,4.0,1 piętro,Wrotków
566000.0,63.70000076293945,0.0,1990,3.0,3 piętro,Czechów Północny
375240.0,31.799999237060547,0.0,2024,2.0,2 piętro,Węglin Południowy
545000.0,63.099998474121094,0.0,1988,3.0,3 piętro,Kalinowszczyzna
899900.0,76.66999816894531,1.0,2018,3.0,2 piętro,Ponikwoda
515000.0,51.0,0.0,1961,2.0,3 piętro,Wieniawa
404973.0,34.060001373291016,0.0,2024,2.0,parter,Węglin Południowy
479999.0,46.0,0.0,1965,3.0,2 piętro,Tatary
1499000.0,88.19999694824219,1.0,2019,4.0,10+ piętro,Czechów Południowy
629000.0,52.77000045776367,0.0,2021,2.0,1 piętro,Dziesiąta
680000.0,70.87000274658203,1.0,2013,3.0,2 piętro,Ponikwoda
799000.0,67.79000091552734,0.0,1939,2.0,4 piętro,Śródmieście
399000.0,51.02000045776367,0.0,1954,2.0,1 piętro,Bronowice
599000.0,61.0,1.0,1980,3.0,7 piętro,Czechów Północny
551080.0,59.900001525878906,1.0,2013,4.0,4 piętro,Czechów Południowy
499000.0,128.0,0.0,1960,4.0,4 piętro,Tatary
540000.0,44.689998626708984,0.0,2004,2.0,parter,Sławin
450000.0,57.29999923706055,1.0,1971,4.0,7 piętro,Rury
699000.0,72.0199966430664,0.0,2005,4.0,3 piętro,Czechów Południowy
675600.0,37.43000030517578,1.0,2023,2.0,parter,Czechów Północny
490000.0,41.2599983215332,1.0,2024,2.0,3 piętro,Czechów Północny
717000.0,57.380001068115234,1.0,2020,3.0,3 piętro,Ponikwoda
1080000.0,72.0,0.0,1908,4.0,parter,Śródmieście
649000.0,67.80000305175781,0.0,1997,3.0,1 piętro,Ponikwoda
439200.0,40.0,1.0,2026,2.0,2 piętro,Śródmieście
679000.0,57.099998474121094,0.0,1978,3.0,3 piętro,Wieniawa
495000.0,61.0,0.0,1979,3.0,4 piętro,Czechów Północny
679000.0,83.80000305175781,0.0,1930,4.0,4 piętro,Śródmieście
469000.0,57.099998474121094,0.0,1971,3.0,4 piętro,Konstantynów
349000.0,38.0,0.0,1969,1.0,parter,Bronowice
690000.0,73.98999786376953,1.0,2015,3.0,3 piętro,Ponikwoda
699000.0,58.470001220703125,1.0,2024,3.0,2 piętro,Felin
454720.0,46.400001525878906,1.0,2024,2.0,4 piętro,Węglin Południowy
519000.0,61.38999938964844,1.0,1984,3.0,1 piętro,Wrotków
679000.0,63.599998474121094,1.0,2024,3.0,1 piętro,Węglin Południowy
420000.0,57.79999923706055,0.0,1961,3.0,parter,Tatary
479000.0,53.91999816894531,0.0,2000,2.0,3 piętro,Ponikwoda
1299000.0,81.0,1.0,2013,3.0,10+ piętro,Rury
480000.0,40.689998626708984,0.0,2024,2.0,2 piętro,Czechów Południowy
300000.0,38.0,0.0,1975,2.0,parter,Śródmieście
690000.0,73.98999786376953,1.0,2015,3.0,3 piętro,Ponikwoda
599000.0,56.0,0.0,1985,3.0,3 piętro,Wieniawa
575000.0,46.540000915527344,1.0,2024,2.0,1 piętro,Czuby Południowe
532000.0,48.0,1.0,1980,3.0,2 piętro,Kalinowszczyzna
529000.0,53.060001373291016,1.0,1975,3.0,6 piętro,Rury
675000.0,60.689998626708984,1.0,2018,3.0,parter,Wrotków
682145.0,63.90999984741211,1.0,2024,3.0,2 piętro,Czechów Północny
820000.0,65.47000122070312,1.0,2018,3.0,4 piętro,Sławin
870000.0,63.0,1.0,2018,3.0,4 piętro,Śródmieście
439000.0,38.70000076293945,0.0,1960,2.0,3 piętro,Rury
824500.0,71.69999694824219,0.0,1970,3.0,parter,Śródmieście
903000.0,70.0,0.0,2026,2.0,3 piętro,Sławin
562134.0,49.310001373291016,0.0,2026,2.0,3 piętro,Sławin
667700.0,60.70000076293945,1.0,2025,3.0,7 piętro,Konstantynów
423759.0,25.520000457763672,1.0,2011,1.0,1 piętro,Wieniawa
551148.5,50.150001525878906,1.0,2024,3.0,5 piętro,Wrotków
472625.0,47.5,0.0,2026,2.0,4 piętro,Wrotków
596000.0,51.0,0.0,2001,2.0,2 piętro,Czuby Południowe
559998.0,52.83000183105469,1.0,2026,3.0,6 piętro,Czechów Północny
579900.0,51.45000076293945,1.0,2025,3.0,2 piętro,Sławin
389000.0,33.0,1.0,1971,2.0,10 piętro,Rury
499999.0,68.0,0.0,1986,4.0,2 piętro,Czechów Północny
359000.0,27.0,0.0,1980,1.0,parter,Rury
519000.0,61.38999938964844,1.0,1984,3.0,1 piętro,Wrotków
348000.0,42.5,0.0,1996,2.0,4 piętro,Felin
767000.0,63.790000915527344,1.0,1977,4.0,9 piętro,Wieniawa
454720.0,46.400001525878906,1.0,2024,2.0,4 piętro,Węglin Południowy
699600.0,66.02999877929688,0.0,2015,3.0,3 piętro,Wrotków
399000.0,52.0,0.0,1900,2.0,3 piętro,Śródmieście
899000.0,96.5,0.0,1960,3.0,2 piętro,Śródmieście
599000.0,57.90999984741211,0.0,1966,3.0,1 piętro,Sławin
550000.0,54.900001525878906,0.0,2008,2.0,parter,Wieniawa
760000.0,66.4000015258789,0.0,2008,3.0,2 piętro,Czuby Południowe
695000.0,75.0,1.0,2005,3.0,2 piętro,Rury
474355.0,43.09000015258789,1.0,2011,2.0,2 piętro,Czechów Północny
599000.0,100.69999694824219,0.0,1985,3.0,1 piętro,Węglin Południowy
567000.0,63.0,0.0,1998,3.0,1 piętro,Dziesiąta
479999.0,46.0,0.0,1965,3.0,2 piętro,Tatary
480000.0,54.0,0.0,1968,2.0,4 piętro,Kalinowszczyzna
850000.0,69.0,1.0,2021,3.0,1 piętro,Węglin Południowy
750000.0,54.65999984741211,1.0,2018,3.0,1 piętro,Węglin Południowy
809000.0,64.11000061035156,1.0,2018,3.0,5 piętro,Sławin
610000.0,78.0,0.0,1989,4.0,parter,Czuby Północne
650682.0,58.619998931884766,1.0,2025,3.0,6 piętro,Konstantynów
427246.0,25.729999542236328,1.0,2008,1.0,1 piętro,Wieniawa
359000.0,36.099998474121094,1.0,1981,2.0,1 piętro,Czechów Południowy
613000.0,58.900001525878906,0.0,2012,4.0,3 piętro,Węglin Południowy
445000.0,31.079999923706055,1.0,2024,2.0,1 piętro,Felin
435000.0,58.0,0.0,1980,3.0,2 piętro,Wrotków
555000.0,42.619998931884766,1.0,2014,2.0,3 piętro,Wrotków
575000.0,61.20000076293945,0.0,1988,3.0,5 piętro,Rury
373500.0,31.65999984741211,1.0,2023,1.0,2 piętro,Felin
599000.0,47.31999969482422,1.0,2017,2.0,2 piętro,Wrotków
579000.0,57.70000076293945,1.0,1981,4.0,1 piętro,Czechów Południowy
745000.0,60.0,1.0,2015,3.0,parter,Czechów Południowy
520000.0,45.5,0.0,1999,2.0,1 piętro,Czuby Południowe
340000.0,35.810001373291016,1.0,1970,2.0,9 piętro,Tatary
699600.0,66.02999877929688,0.0,2015,3.0,3 piętro,Wrotków
562800.0,46.900001525878906,1.0,2017,2.0,2 piętro,Felin
559998.0,52.83000183105469,1.0,2026,3.0,6 piętro,Czechów Północny
475380.0,41.70000076293945,1.0,2026,2.0,1 piętro,Sławin
369000.0,31.799999237060547,1.0,2024,2.0,1 piętro,Węglin Południowy
699000.0,75.83000183105469,0.0,1988,3.0,2 piętro,Rury
956000.0,40.0,1.0,2023,2.0,2 piętro,Śródmieście
412815.0,37.70000076293945,1.0,2024,2.0,2 piętro,Śródmieście
570000.0,72.0,0.0,1970,3.0,2 piętro,Wieniawa
459000.0,35.939998626708984,1.0,2005,2.0,2 piętro,Czuby Północne
579000.0,55.20000076293945,0.0,1970,3.0,3 piętro,Śródmieście
370000.0,36.79999923706055,1.0,1975,2.0,10 piętro,Kalinowszczyzna
698000.0,70.5,0.0,2002,3.0,1 piętro,Sławin
519000.0,52.66999816894531,0.0,1970,2.0,parter,Rury
760000.0,51.0,1.0,2018,2.0,10 piętro,Czechów Południowy
479000.0,45.93000030517578,0.0,1969,2.0,4 piętro,Kalinowszczyzna
755000.0,72.12999725341797,1.0,2018,3.0,1 piętro,Dziesiąta
385000.0,49.0,0.0,1988,3.0,4 piętro,Kalinowszczyzna
418446.0,25.200000762939453,1.0,1971,1.0,1 piętro,Wieniawa
563785.3125,49.27000045776367,1.0,2024,3.0,parter,Wrotków
568266.0,35.7400016784668,1.0,2025,2.0,1 piętro,Śródmieście
564300.0,59.400001525878906,0.0,2026,3.0,3 piętro,Wrotków
593884.0,62.58000183105469,0.0,2025,4.0,parter,Czechów Północny
1099500.0,82.56999969482422,1.0,1987,4.0,3 piętro,Wrotków
460000.0,40.25,1.0,1987,3.0,7 piętro,Dziesiąta
378420.0,31.799999237060547,1.0,2024,2.0,3 piętro,Węglin Południowy
734000.0,56.88999938964844,1.0,2024,3.0,2 piętro,Węglin Południowy
749000.0,62.5,1.0,2018,3.0,4 piętro,Węglin Południowy
559000.0,54.0,1.0,1970,3.0,1 piętro,Rury
870000.0,95.5999984741211,0.0,2001,4.0,3 piętro,Rury
99000.0,19.0,0.0,1929,1.0,parter,Dziesiąta
499000.0,60.0,0.0,1970,2.0,parter,Czechów Północny
480000.0,43.599998474121094,1.0,1970,2.0,5 piętro,Rury
339000.0,35.599998474121094,0.0,1967,2.0,parter,Tatary
549000.0,58.20000076293945,0.0,2007,3.0,parter,Czuby Południowe
626500.0,50.119998931884766,0.0,2019,2.0,2 piętro,Śródmieście
369000.0,31.799999237060547,1.0,2024,2.0,1 piętro,Węglin Południowy
515700.0,51.56999969482422,1.0,2024,3.0,1 piętro,Czechów Południowy
863200.0,66.91999816894531,1.0,2024,3.0,parter,Czechów Południowy
585600.0,62.970001220703125,0.0,2002,3.0,1 piętro,Kośminek
1050000.0,77.0,0.0,2023,3.0,1 piętro,Sławin
899000.0,68.0,1.0,2013,3.0,10 piętro,Rury
515000.0,47.79999923706055,1.0,1964,3.0,9 piętro,Rury
658116.0,65.16000366210938,1.0,2026,3.0,3 piętro,Sławin
633420.0,62.099998474121094,1.0,2026,3.0,3 piętro,Sławin
635222.0,57.79999923706055,0.0,1987,3.0,2 piętro,Czuby Północne
719000.0,56.93000030517578,1.0,1996,3.0,1 piętro,Wrotków
465000.0,56.0,1.0,1975,3.0,3 piętro,Rury
1280000.0,92.0,0.0,2020,4.0,1 piętro,Sławin
585600.0,62.970001220703125,0.0,2002,3.0,1 piętro,Kośminek
555000.0,50.0,1.0,2011,2.0,2 piętro,Węglin Południowy
819000.0,68.37000274658203,1.0,2019,3.0,3 piętro,Wrotków
624730.0,57.34000015258789,1.0,2009,3.0,2 piętro,Czechów Północny
506280.0,42.189998626708984,1.0,2026,2.0,2 piętro,Sławin
685000.0,62.099998474121094,1.0,2011,3.0,4 piętro,Rury
445000.0,48.0,0.0,1990,3.0,1 piętro,Czuby Południowe
475440.0,51.810001373291016,1.0,2024,3.0,3 piętro,Czechów Południowy
649000.0,67.80000305175781,0.0,1997,3.0,1 piętro,Ponikwoda
579900.0,51.439998626708984,1.0,2025,3.0,parter,Sławin
499000.0,45.70000076293945,1.0,1976,2.0,6 piętro,Rury
417280.0,32.599998474121094,1.0,2025,2.0,3 piętro,Węglin Południowy
569000.0,50.0,1.0,2006,2.0,1 piętro,Czechów Północny
529999.0,40.0,1.0,2024,2.0,7 piętro,Śródmieście
639000.0,59.0,1.0,1995,4.0,4 piętro,Kalinowszczyzna
649900.0,50.0,0.0,2014,3.0,2 piętro,Śródmieście
542466.375,49.36000061035156,1.0,2024,3.0,4 piętro,Wrotków
564300.0,59.400001525878906,0.0,2026,3.0,4 piętro,Wrotków
1050000.0,77.0,0.0,2023,3.0,1 piętro,Sławin
498999.0,39.2599983215332,1.0,1982,2.0,10 piętro,Rury
393450.0,30.5,1.0,2024,2.0,3 piętro,Śródmieście
465828.0,45.27000045776367,0.0,2026,3.0,parter,Czechów Północny
347352.0,34.77000045776367,0.0,1989,1.0,2 piętro,Wrotków
619702.0,55.380001068115234,0.0,2020,3.0,3 piętro,Węglin Południowy
375000.0,27.399999618530273,0.0,2017,1.0,3 piętro,Dziesiąta
700000.0,97.91000366210938,0.0,1900,3.0,4 piętro,Śródmieście
549000.0,48.79999923706055,1.0,2000,3.0,2 piętro,Rury
1149990.0,91.98999786376953,0.0,2019,4.0,1 piętro,Sławin
789000.0,71.97000122070312,0.0,2007,3.0,1 piętro,Rury
549000.0,58.900001525878906,0.0,1990,3.0,1 piętro,Czuby Północne
591970.0,29.600000381469727,1.0,2024,2.0,6 piętro,Śródmieście
695000.0,54.5099983215332,1.0,2023,3.0,1 piętro,Kośminek
410000.0,46.34000015258789,0.0,1954,2.0,2 piętro,Tatary
520000.0,76.5,0.0,1962,3.0,parter,Śródmieście
890000.0,120.0,0.0,1934,4.0,4 piętro,Śródmieście
830000.0,65.0,0.0,2019,3.0,2 piętro,Stare Miasto
393872.0,29.56999969482422,1.0,2026,1.0,parter,Ponikwoda
570000.0,55.0,1.0,2023,3.0,3 piętro,Kośminek
449000.0,49.5,1.0,1981,3.0,7 piętro,Czuby Północne
490000.0,48.5,0.0,2009,2.0,2 piętro,Sławin
449000.0,54.0,0.0,1989,2.0,4 piętro,Kalinowszczyzna
535000.0,47.36000061035156,1.0,2019,2.0,2 piętro,Śródmieście
299999.0,27.0,0.0,1975,1.0,parter,Za Cukrownią
415000.0,39.5,0.0,2006,1.0,parter,Śródmieście
679000.0,60.0,0.0,2013,4.0,parter,Czechów Południowy
688345.0,57.40999984741211,1.0,2024,3.0,parter,Dziesiąta
199000.0,20.600000381469727,0.0,1975,1.0,parter,Sławin
635000.0,62.20000076293945,0.0,1977,3.0,parter,Czechów Południowy
1256810.0,90.45999908447266,0.0,1815,4.0,1 piętro,Śródmieście
565000.0,57.70000076293945,1.0,1979,3.0,4 piętro,Czechów Południowy
602995.0,72.6500015258789,0.0,2019,4.0,3 piętro,Dziesiąta
542686.1875,49.380001068115234,1.0,2024,3.0,3 piętro,Wrotków
855228.0,64.79000091552734,1.0,2025,3.0,5 piętro,Śródmieście
475440.0,51.810001373291016,1.0,2024,3.0,3 piętro,Czechów Południowy
585000.0,55.40999984741211,1.0,2024,3.0,3 piętro,Felin
775448.3125,51.70000076293945,1.0,2022,2.0,5 piętro,Konstantynów
558360.0,59.400001525878906,0.0,2026,3.0,2 piętro,Wrotków
407433.0,33.70000076293945,0.0,2024,2.0,3 piętro,Czechów Północny
347352.0,34.77000045776367,0.0,1996,1.0,parter,Wrotków
404973.0,34.060001373291016,0.0,2024,2.0,1 piętro,Węglin Południowy
907720.0,112.76000213623047,0.0,2025,4.0,4 piętro,Zemborzyce
735000.0,61.310001373291016,1.0,2012,3.0,2 piętro,Węglin Południowy
520000.0,57.97999954223633,0.0,1980,3.0,2 piętro,Kalinowszczyzna
830000.0,67.55000305175781,1.0,2019,3.0,1 piętro,Czuby Południowe
699000.0,58.470001220703125,1.0,2024,3.0,2 piętro,Felin
585000.0,55.40999984741211,1.0,2024,3.0,3 piętro,Felin
464000.0,40.630001068115234,0.0,1963,3.0,3 piętro,Wieniawa
450000.0,47.900001525878906,0.0,1974,3.0,4 piętro,Rury
349000.0,20.0,1.0,1970,1.0,3 piętro,Rury
699000.0,60.11000061035156,1.0,2010,3.0,5 piętro,Węglin Południowy
480000.0,51.400001525878906,0.0,1967,3.0,3 piętro,Czechów Południowy
499900.0,57.099998474121094,0.0,1962,3.0,1 piętro,Rury
855000.0,75.0199966430664,1.0,2008,3.0,2 piętro,Ponikwoda
899000.0,88.41000366210938,0.0,2019,3.0,parter,Sławin
696000.0,55.95000076293945,1.0,2019,3.0,1 piętro,Sławin
990000.0,85.0,0.0,2017,4.0,5 piętro,Konstantynów
219000.0,28.0,0.0,1900,1.0,1 piętro,Dziesiąta
